year,Extrasystemic,Internal,Interstate
1946,1.0,6.0,0.0
1947,2.0,8.0,0.0
1948,1.0,9.0,3.0
1949,1.0,6.0,1.0
1950,2.0,5.0,1.0
1951,2.0,3.0,1.0
1952,2.0,2.0,1.0
1953,3.0,3.0,1.0
1954,2.0,1.0,1.0
1955,2.0,2.0,0.0
1956,2.0,2.0,2.0
1957,1.0,1.0,0.0
1958,1.0,4.0,1.0
1959,1.0,4.0,0.0
1960,1.0,3.0,0.0
1961,2.0,6.0,1.0
1962,1.0,5.0,1.0
1963,0.0,7.0,0.0
1964,0.0,7.0,0.0
1965,0.0,6.0,2.0
1966,0.0,6.0,1.0
1967,0.0,7.0,4.0
1968,0.0,6.0,1.0
1969,0.0,7.0,2.0
1970,0.0,7.0,1.0
1971,0.0,8.0,2.0
1972,1.0,4.0,1.0
1973,1.0,3.0,3.0
1974,0.0,4.0,2.0
1975,0.0,6.0,1.0
1976,0.0,8.0,0.0
1977,0.0,7.0,1.0
1978,0.0,13.0,1.0
1979,0.0,9.0,1.0
1980,0.0,8.0,1.0
1981,0.0,11.0,1.0
1982,0.0,14.0,1.0
1983,0.0,13.0,1.0
1984,0.0,14.0,1.0
1985,0.0,12.0,1.0
1986,0.0,11.0,1.0
1987,0.0,13.0,2.0
1988,0.0,15.0,1.0
1989,0.0,10.0,0.0
1990,0.0,13.0,1.0
1991,0.0,12.0,1.0
1992,0.0,13.0,0.0
1993,0.0,9.0,0.0
1994,0.0,9.0,0.0
1995,0.0,8.0,0.0
1996,0.0,10.0,0.0
1997,0.0,7.0,0.0
1998,0.0,11.0,1.0
1999,0.0,11.0,1.0
2000,0.0,11.0,1.0
2001,0.0,8.0,1.0
2002,0.0,7.0,0.0
2003,0.0,4.0,1.0
2004,0.0,7.0,0.0
2005,0.0,5.0,0.0
2006,0.0,5.0,0.0
2007,0.0,4.0,0.0
2008,0.0,5.0,0.0
2009,0.0,6.0,0.0
2010,0.0,5.0,0.0
2011,0.0,7.0,0.0
2012,0.0,6.0,0.0
2013,0.0,6.0,0.0
2014,0.0,12.0,0.0
2015,0.0,11.0,0.0
2016,0.0,12.0,0.0
2017,0.0,10.0,0.0
2018,0.0,6.0,0.0
