,number_of_conflicts,area,capital_lat,capital_long,capital_name,country_name,cow_code,cow_endday,cow_endmonth,cow_endyear,cow_startday,cow_startmonth,cow_startyear,feature_id,gw_code,gw_endday,gw_endmonth,gw_endyear,gw_startday,gw_startmonth,gw_startyear,iso_alpha2,iso_alpha3,iso_name,iso_num
0,3,27315.4591425,18.5392,-72.3,Port-au-Prince,Haiti,41,30,6,2016,1,1,1946,23,41,30,6,2016,1,1,1946,HT,HTI,Haiti,332
1,3,400653.40058200003,-25.3,-57.7,Asuncion,Paraguay,150,30,6,2016,1,1,1946,11,150,30,6,2016,1,1,1946,PY,PRY,Paraguay,600
2,3,1092697.4356200001,-16.5,-68.2,La Paz,Bolivia,145,30,6,2016,1,1,1946,7,145,30,6,2016,1,1,1946,BO,BOL,Bolivia,68
3,2,74612.56756150001,8.966667,-79.5,Panama City,Panama,95,30,6,2016,1,1,1946,33,95,30,6,2016,1,1,1946,PA,PAN,Panama,591
4,2,1726.73596857,-11.7,43.24028,Moroni,Comoros,581,30,6,2016,31,12,1975,162,581,30,6,2016,6,7,1975,KM,COM,Comoros,174
5,2,48625.6990635,18.46667,-69.9,Santo Domingo,Dominican Republic,42,30,6,2016,1,1,1946,22,42,30,6,2016,1,1,1946,DO,DOM,Dominican Republic,214
6,1,30621.4287343,-29.3,27.48333,Maseru,Lesotho,570,30,6,2016,4,10,1966,163,570,30,6,2016,4,10,1966,LS,LSO,Lesotho,426
7,1,348.318551633,12.05,-61.8,Saint George's,Grenada,55,30,6,2016,7,2,1974,19,55,30,6,2016,7,2,1974,GD,GRD,Grenada,308
8,1,581127.216322,-24.6,25.91195,Gaborone,Botswana,571,30,6,2016,30,9,1966,155,571,30,6,2016,30,9,1966,BW,BWA,Botswana,72
9,1,9157.70860517,35.16667,33.366659999999996,Nicosia,Cyprus,352,30,6,2016,16,8,1960,91,352,30,6,2016,16,8,1960,CY,CYP,Cyprus,196
10,1,257026.69076599999,-0.2166667,-78.5,Quito,Ecuador,130,30,6,2016,1,1,1946,10,130,30,6,2016,1,1,1946,EC,ECU,Ecuador,218
11,1,199732.539747,42.87305,74.60028,Bishkek,Kyrgyzstan,703,30,6,2016,26,12,1991,135,703,30,6,2016,31,8,1991,KG,KGZ,Kyrgyzstan,417
12,1,371862.299662,35.685,140.0,Tokyo,Japan,740,30,6,2016,28,4,1952,143,740,30,6,2016,1,1,1946,JP,JPN,Japan,392
13,1,51402.6253926,9.933333,-84.1,San Jose,Costa Rica,94,30,6,2016,1,1,1946,28,94,30,6,2016,1,1,1946,CR,CRI,Costa Rica,188
14,1,145952.274029,5.8333330000000005,-55.2,Paramaribo,Suriname,115,30,6,2016,25,11,1975,1,115,30,6,2016,25,11,1975,SR,SUR,Suriname,740
15,1,262447.341739,0.3833333,9.45,Libreville,Gabon,481,30,6,2016,17,8,1960,172,481,30,6,2016,17,8,1960,GA,GAB,Gabon,266
16,1,745808.493557,-33.5,-70.7,Santiago,Chile,155,30,6,2016,1,1,1946,9,155,30,6,2016,1,1,1946,CL,CHL,Chile,152
17,1,127553.131842,50.08333,14.46667,Prague,Czechoslovakia,315,31,12,1992,1,1,1946,190,315,31,12,1992,1,1,1946,CS,CSK,Czechoslovakia,200
18,1,178357.24144,-34.9,-56.2,Montevideo,Uruguay,165,30,6,2016,1,1,1946,13,165,30,6,2016,1,1,1946,UY,URY,Uruguay,858
19,1,5041.72895193,10.65,-61.5,Port-of-Spain,Trinidad and Tobago,52,30,6,2016,31,8,1962,2,52,30,6,2016,31,8,1962,TT,TTO,Trinidad and Tobago,780
